,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,90,US,1560546783,67,42.65,-73.75,66.99,5.82
1,Thompson,40,CA,1560547070,22,55.74,-97.86,62.6,9.17
2,Praia,0,BR,1560547230,41,-20.25,-43.81,75.2,10.29
3,Kartaly,100,RU,1560547231,66,53.05,60.64,49.82,7.29
4,Byron Bay,90,AU,1560547232,93,-28.65,153.62,62.6,2.06
5,Hermanus,0,ZA,1560546989,76,-34.42,19.24,51.01,6.4
6,Magole,78,TZ,1560547234,93,-6.37,37.37,59.36,2.26
7,Esperance,20,TT,1560546645,55,10.24,-61.45,89.6,13.87
8,Gairo,36,TZ,1560547237,78,-6.14,36.87,61.52,5.7
9,Dabou,75,CI,1560547238,94,5.32,-4.37,78.8,3.36
10,Ilulissat,75,GL,1560547028,86,69.22,-51.1,41.0,2.24
11,Bluff,0,AU,1560546798,90,-23.58,149.07,59.9,4.56
12,Cascais,20,PT,1560547241,77,38.7,-9.42,62.6,6.93
13,Qaanaaq,100,GL,1560546949,89,77.48,-69.36,36.86,1.88
14,Port Alfred,0,ZA,1560546963,62,-33.59,26.89,54.0,2.73
15,Bambous Virieux,75,MU,1560547166,77,-20.34,57.76,68.0,8.77
16,Kolaras,17,IN,1560547245,37,25.22,77.61,89.06,10.65
17,Mataura,21,NZ,1560546781,98,-46.19,168.86,42.01,3.65
18,Ancud,40,CL,1560546939,81,-41.87,-73.83,46.4,5.82
19,Vila Franca do Campo,75,PT,1560547249,82,37.72,-25.43,66.2,8.05
20,Ibra,98,OM,1560547250,27,22.69,58.55,85.1,3.29
21,Oksfjord,75,NO,1560547251,86,70.24,22.35,48.2,12.75
22,Ushuaia,75,AR,1560546784,98,-54.81,-68.31,37.4,10.29
23,Yarada,75,IN,1560547253,70,17.65,83.27,87.8,6.93
24,Adre,36,TD,1560547254,62,13.47,22.2,76.82,16.06
25,Kapaa,40,US,1560546782,69,22.08,-159.32,82.4,12.75
26,Sioux Lookout,75,CA,1560547257,51,50.1,-91.92,62.6,8.05
27,West Bay,20,GB,1560547258,82,50.71,-2.76,55.99,6.93
28,Lata,0,IN,1560547259,54,30.78,78.62,37.76,4.36
29,Codrington,90,AU,1560547014,93,-28.95,153.24,62.6,0.31
30,Rikitea,16,PF,1560546941,69,-23.12,-134.97,68.36,23.89
31,Lebu,75,ET,1560547191,93,8.96,38.73,59.0,2.24
32,Nishihara,90,JP,1560547207,93,35.74,139.53,66.99,6.93
33,Cape Town,0,ZA,1560546832,93,-33.93,18.42,53.01,2.24
34,New Norfolk,20,AU,1560546971,87,-42.78,147.06,44.6,1.12
35,Vaini,55,IN,1560546770,89,15.34,74.49,76.46,4.47
36,Bethel,75,US,1560547082,51,60.79,-161.76,66.2,8.05
37,Dingle,76,PH,1560547269,84,11.0,122.67,76.1,2.57
38,Portland,75,US,1560547163,52,45.52,-122.67,73.0,6.93
39,Rome,20,IT,1560547205,44,41.89,12.48,82.0,10.29
40,Puerto Ayora,20,EC,1560546775,65,-0.74,-90.35,80.6,19.46
41,Atuona,27,PF,1560547037,76,-9.8,-139.03,80.24,14.07
42,Jamestown,0,AU,1560546794,85,-33.21,138.6,46.04,4.74
43,Severo-Kurilsk,100,RU,1560547065,84,50.68,156.12,42.26,7.38
44,Carnarvon,0,ZA,1560547004,19,-30.97,22.13,46.76,9.57
45,Santa Ana,20,SV,1560547278,74,13.99,-89.56,86.0,4.7
46,Husavik,22,CA,1560547280,28,50.56,-96.99,77.0,5.01
